Version 4,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Software Engineering,Computer Engineering,Electrical and Electronic Engineering,Mechatronics Engineering,Mechanical Engineering,Civil Engineering,Natural Resources Engineering,Forest Engineering,Chemical and Process Engineering
Semester 1,ENGR100,Req,Req,Req,Req,Req,Req,Req,Req,Req
Semester 1,ENGR101,Req,Req,Req,Req,Req,Req,Req,Req,Req
Semester 1,EMTH118,Req,Req,Req,Req,Req,Req,Req,Req,Req
Semester 1,PHYS101,Req,Req,Req,Req,Req,Req,Req,Req,Req
Semester 1,CHEM111,,,,,Req,Req,Req,Req,Req
Semester 1,COSC121,,Req,Req,Req,,,,,
Semester 1,Other elective,,,,,,,,,
Semester 2,EMTH119,Req,Req,Req,Req,Req,Req,Req,Req,Req
Semester 2,EMTH171,,Req,Req,Req,Req,Req,Req,Req,Req
Semester 2,ENGR102,,,,Req,Req,Req,Req,,
Semester 2,CHEM111,,,,,,,,,
Semester 2,PHYS102,,,,,,,,,
Semester 2,COSC121,,,,,,,,,
Semester 2,COSC122,Req,,,,,,,,
Semester 2,MATH120,Req,,,,,,,,
Semester 2,other elective,,,,,,,,,
Summer,PHYS102,,,,,,,,,
Summer,COSC122,,,,,,,,,
,,,Can't be taken at same time,,,,,,,
,,,Have prerequisites,,,,,,,
,,,Prioritise?,,,,,,,
