Version 3,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Software Engineering,Computer Engineering,Electrical and Electronic Engineering,Mechatronics Engineering,Mechanical Engineering,Civil Engineering,Natural Resources Engineering,Forest Engineering,Chemical and Process Engineering
Semester 1,ENGR100,,All,All,All,All,All,All,All,All,All
Semester 1,ENGR101,,All,All,All,All,All,All,All,All,All
Semester 1,EMTH118,,All,All,All,All,All,All,All,All,All
Semester 1,PHYS101,,All,All,All,All,All,All,All,All,All
Semester 1,CHEM111,,,,,,Rec,Rec,Rec,Rec,Rec
Semester 1,COSC121,,Req,Req,,,,,,,
Semester 1,Other elective,,,,,,,,,,
Semester 2,EMTH119,,,,Rec,Rec,Rec,Rec,Rec,Rec,Rec
Semester 2,EMTH171,,All,All,All,All,All,All,All,All,All
Semester 2,ENGR102,,,,Req,Req,Req,Req,Req,Req,Req
Semester 2,CHEM111,,,,,,,,,,
Semester 2,PHYS102,,,Req,Req,Req,Req,Req,Req,Req,Req
Semester 2,COSC121,,,,,,,,,,
Semester 2,COSC122,,Req,Req,,,,,,,
Semester 2,MATH120,,Req,Req,,,,,,,
Semester 2,other elective,,,,,,,,,,
Summer,PHYS102,,,,,,,,,,
Summer,COSC122,,,,,,,,,,
